Country,Continent,Dystopia Residual (Social support),Economy (GDP per Capita),Family,Freedom,Generosity,Happiness Rank,Happiness Score,Health (Life Expectancy),Standard Error,Trust (Government Corruption),year
Switzerland,Europe,2.51738,1.39651,1.34951,0.66557,0.29678,1,7.587,0.94143,0.03411,0.41978,2015
Iceland,Europe,2.70201,1.30232,1.40223,0.62877,0.4363,2,7.561,0.94784,0.04884,0.14145,2015
Denmark,Europe,2.49204,1.32548,1.36058,0.64938,0.34139,3,7.527,0.87464,0.03328,0.48357,2015
Norway,Europe,2.46531,1.459,1.33095,0.66973,0.34699,4,7.522,0.88521,0.0388,0.36503,2015
Canada,North America,2.45176,1.32629,1.32261,0.63297,0.45811,5,7.427,0.90563,0.03553,0.32957,2015
Finland,Europe,2.61955,1.29025,1.31826,0.64169,0.23351,6,7.406,0.88911,0.0314,0.41372,2015
Netherlands,Europe,2.4657,1.32944,1.28017,0.61576,0.4761,7,7.378,0.89284,0.02799,0.31814,2015
Sweden,Europe,2.37119,1.33171,1.28907,0.6598,0.36262,8,7.364,0.91087,0.03157,0.43844,2015
New Zealand,Oceania,2.26425,1.25018,1.31967,0.63938,0.47501,9,7.286,0.90837,0.03371,0.42922,2015
Australia,Oceania,2.26646,1.33358,1.30923,0.65124,0.43562,10,7.284,0.93156,0.04083,0.35637,2015
Israel,Asia,3.08854,1.22857,1.22393,0.41319,0.33172,11,7.278,0.91387,0.0347,0.07785,2015
Costa Rica,North America,3.17728,0.95578,1.23788,0.63376,0.25497,12,7.226,0.86027,0.04454,0.10583,2015
Austria,Europe,2.5332,1.33723,1.29704,0.62433,0.33088,13,7.2,0.89042,0.03751,0.18676,2015
Mexico,North America,3.60214,1.02054,0.91451,0.48181,0.14074,14,7.187,0.81444,0.04176,0.21312,2015
United States,North America,2.51011,1.39451,1.24711,0.54604,0.40105,15,7.119,0.86179,0.03839,0.1589,2015
Brazil,South America,3.26001,0.98124,1.23287,0.49049,0.14574,16,6.983,0.69702,0.04076,0.17521,2015
Luxembourg,Europe,1.96961,1.56391,1.21963,0.61583,0.28034,17,6.946,0.91894,0.03499,0.37798,2015
Ireland,Europe,1.9757,1.33596,1.36948,0.61777,0.45901,18,6.94,0.89533,0.03676,0.28703,2015
Belgium,Europe,2.41484,1.30782,1.28566,0.5845,0.2225,19,6.937,0.89667,0.03595,0.2254,2015
United Arab Emirates,Asia,2.24743,1.42727,1.12575,0.64157,0.26428,20,6.901,0.80925,0.03729,0.38583,2015
United Kingdom,Europe,1.96994,1.26637,1.28548,0.59625,0.51912,21,6.867,0.90943,0.01866,0.32067,2015
Oman,Asia,2.47489,1.36011,1.08182,0.63274,0.21542,22,6.853,0.76276,0.05335,0.32524,2015
Venezuela,South America,3.19131,1.04424,1.25596,0.42908,0.05841,23,6.81,0.72052,0.06476,0.11069,2015
Singapore,Asia,1.88501,1.52186,1.02,0.54252,0.31105,24,6.798,1.02525,0.0378,0.4921,2015
Panama,North America,2.84848,1.06353,1.1985,0.5421,0.24434,25,6.786,0.79661,0.0491,0.0927,2015
Germany,Europe,2.11569,1.32792,1.29937,0.61477,0.28214,26,6.75,0.89186,0.01848,0.21843,2015
Chile,South America,2.67585,1.10715,1.12447,0.44132,0.33363,27,6.67,0.85857,0.058,0.12869,2015
Qatar,Asia,1.55674,1.69042,1.0786,0.6404,0.32573,28,6.611,0.79733,0.06257,0.52208,2015
France,Europe,2.21126,1.27778,1.26038,0.55011,0.12332,29,6.575,0.94579,0.03512,0.20646,2015
Argentina,South America,2.836,1.05351,1.24823,0.44974,0.11451,30,6.574,0.78723,0.04612,0.08484,2015
Czech Republic,Europe,2.67782,1.17898,1.20643,0.46364,0.10686,31,6.505,0.84483,0.04168,0.02652,2015
Uruguay,South America,2.32142,1.06166,1.2089,0.60362,0.2324,32,6.485,0.8116,0.04539,0.24558,2015
Colombia,South America,2.85737,0.91861,1.24018,0.53466,0.18401,33,6.477,0.69077,0.05051,0.0512,2015
Thailand,Asia,2.31945,0.9669,1.26504,0.55664,0.5763,34,6.455,0.7385,0.03557,0.03187,2015
Saudi Arabia,Asia,2.43872,1.39541,1.08393,0.31048,0.13706,35,6.411,0.72025,0.04633,0.32524,2015
Spain,Europe,2.12367,1.23011,1.31379,0.45951,0.18227,36,6.329,0.95562,0.03468,0.06398,2015
Malta,Europe,1.6488,1.2074,1.30203,0.60365,0.51752,37,6.302,0.88721,0.04206,0.13586,2015
Taiwan,Asia,2.32323,1.29098,1.07617,0.3974,0.25376,38,6.298,0.8753,0.03868,0.08129,2015
Kuwait,Asia,1.87634,1.55422,1.16594,0.55499,0.16228,39,6.295,0.72492,0.04456,0.25609,2015
Suriname,South America,2.79094,0.99534,0.972,0.59657,0.16991,40,6.269,0.6082,0.09811,0.13633,2015
Trinidad and Tobago,North America,2.26882,1.21183,1.18354,0.55884,0.31844,41,6.168,0.61483,0.10895,0.0114,2015
El Salvador,North America,3.035,0.76454,1.02507,0.4035,0.10692,42,6.13,0.67737,0.05618,0.11776,2015
Guatemala,North America,2.74255,0.74553,1.04356,0.57733,0.27489,43,6.123,0.64425,0.05224,0.09472,2015
Uzbekistan,Asia,2.23741,0.63244,1.34043,0.65821,0.22837,44,6.003,0.59772,0.04361,0.30826,2015
Slovakia,Europe,2.24639,1.16891,1.26999,0.31751,0.16893,45,5.995,0.78902,0.04267,0.03431,2015
Japan,Asia,1.68435,1.27074,1.25712,0.49615,0.10705,46,5.987,0.99111,0.03581,0.1806,2015
South Korea,Asia,2.21978,1.24461,0.95774,0.33208,0.18557,47,5.984,0.96538,0.04098,0.07857,2015
Ecuador,South America,2.53942,0.86402,0.99903,0.48574,0.11541,48,5.975,0.79075,0.04528,0.1809,2015
Bahrain,Asia,1.73797,1.32376,1.21624,0.45492,0.17362,49,5.96,0.74716,0.05412,0.306,2015
Italy,Europe,2.02518,1.25114,1.19777,0.26236,0.22823,50,5.948,0.95446,0.03914,0.02901,2015
Bolivia,South America,2.82334,0.68133,0.97841,0.57414,0.20536,51,5.89,0.5392,0.05642,0.088,2015
Moldova,Europe,3.10712,0.59448,1.01528,0.32818,0.20951,52,5.889,0.61826,0.03799,0.01615,2015
Paraguay,South America,2.18896,0.75985,1.30477,0.53899,0.3424,53,5.878,0.66098,0.04563,0.08242,2015
Kazakhstan,Europe,2.24729,1.12254,1.12241,0.51649,0.11827,54,5.855,0.64368,0.04114,0.08454,2015
Kazakhstan,Asia,2.24729,1.12254,1.12241,0.51649,0.11827,54,5.855,0.64368,0.04114,0.08454,2015
Slovenia,Europe,1.61583,1.18498,1.27385,0.60855,0.25328,55,5.848,0.87337,0.04251,0.03787,2015
Lithuania,Europe,2.44649,1.14723,1.25745,0.21342,0.02641,56,5.833,0.73128,0.03843,0.01031,2015
Nicaragua,North America,2.32407,0.59325,1.14184,0.55475,0.27815,57,5.828,0.74314,0.05371,0.19317,2015
Peru,South America,2.5945,0.90019,0.97459,0.41496,0.14982,58,5.824,0.73017,0.04615,0.05989,2015
Belarus,Europe,2.1309,1.03192,1.23289,0.37938,0.11046,59,5.813,0.73608,0.03938,0.1909,2015
Poland,Europe,1.86565,1.12555,1.27948,0.53122,0.16759,60,5.791,0.77903,0.04263,0.04212,2015
Malaysia,Asia,1.88541,1.12486,1.07023,0.53024,0.33075,61,5.77,0.72394,0.0433,0.10501,2015
Croatia,Europe,2.75414,1.08254,0.79624,0.25883,0.05444,62,5.759,0.78805,0.04394,0.0243,2015
Libya,Africa,2.09066,1.13145,1.11862,0.41668,0.18295,63,5.754,0.7038,0.07832,0.11023,2015
Russia,Europe,2.27394,1.13764,1.23617,0.36679,0.00199,64,5.716,0.66926,0.03135,0.03005,2015
Jamaica,North America,2.32038,0.81038,1.15102,0.50442,0.2123,65,5.709,0.68741,0.13693,0.02299,2015
North Cyprus,Europe,1.59888,1.20806,1.07008,0.49027,0.26169,66,5.695,0.92356,0.05635,0.1428,2015
Cyprus,Asia,1.88931,1.20813,0.89318,0.40672,0.30638,67,5.689,0.92356,0.0558,0.06146,2015
Algeria,Africa,2.43209,0.93929,1.07772,0.28579,0.07822,68,5.605,0.61766,0.05099,0.17383,2015
Kosovo,Europe,2.76579,0.80148,0.81198,0.24749,0.2831,69,5.589,0.63132,0.05018,0.04741,2015
Turkmenistan,Asia,1.86984,0.95847,1.22668,0.4761,0.16979,70,5.548,0.53886,0.04175,0.30844,2015
Mauritius,Africa,1.76145,1.00761,0.98521,0.56066,0.37744,71,5.477,0.7095,0.07197,0.07521,2015
Hong Kong,Asia,0.65429,1.38604,1.05818,0.59608,0.39478,72,5.474,1.01328,0.05051,0.37124,2015
Estonia,Europe,1.58782,1.15174,1.22791,0.44888,0.0868,73,5.429,0.77361,0.04013,0.15184,2015
Indonesia,Asia,1.86399,0.82827,1.08708,0.46611,0.51535,74,5.399,0.63793,0.02596,0,2015
Vietnam,Asia,2.20173,0.63216,0.91226,0.59444,0.1686,75,5.36,0.74676,0.03107,0.10441,2015
Turkey,Europe,2.08528,1.06098,0.94632,0.22815,0.12253,76,5.332,0.73172,0.03864,0.15746,2015
Turkey,Asia,2.08528,1.06098,0.94632,0.22815,0.12253,76,5.332,0.73172,0.03864,0.15746,2015
Kyrgyzstan,Asia,2.2327,0.47428,1.15115,0.43477,0.3003,77,5.286,0.65088,0.03823,0.04232,2015
Nigeria,Africa,2.89319,0.65435,0.90432,0.34334,0.27233,78,5.268,0.16007,0.04192,0.0403,2015
Bhutan,Asia,1.63794,0.77042,1.10395,0.53206,0.47998,79,5.253,0.57407,0.03225,0.15445,2015
Azerbaijan,Europe,2.00073,1.02389,0.93793,0.3703,0.07799,80,5.212,0.64045,0.03363,0.16065,2015
Azerbaijan,Asia,2.00073,1.02389,0.93793,0.3703,0.07799,80,5.212,0.64045,0.03363,0.16065,2015
Pakistan,Asia,3.10709,0.59543,0.41411,0.12102,0.33671,81,5.194,0.51466,0.03726,0.10464,2015
Jordan,Asia,1.87996,0.90198,1.05392,0.40661,0.11053,82,5.192,0.69639,0.04524,0.14293,2015
Montenegro,Europe,2.10017,0.97438,0.90557,0.1826,0.1614,82,5.192,0.72521,0.05235,0.14296,2015
China,Asia,1.8604,0.89012,0.94675,0.51697,0.08185,84,5.14,0.81658,0.02424,0.02781,2015
Zambia,Africa,2.6343,0.47038,0.91612,0.48827,0.19591,85,5.129,0.29924,0.06988,0.12468,2015
Romania,Europe,1.93129,1.04345,0.88588,0.35068,0.13748,86,5.124,0.7689,0.06607,0.00649,2015
Serbia,Europe,2.025,0.92053,1.00964,0.20107,0.19231,87,5.123,0.74836,0.04864,0.02617,2015
Portugal,Europe,1.26462,1.15991,1.13935,0.51469,0.13719,88,5.102,0.87519,0.04802,0.01078,2015
Latvia,Europe,1.62215,1.11312,1.09562,0.29671,0.18226,89,5.098,0.72437,0.0464,0.06332,2015
Philippines,Asia,1.7536,0.70532,1.03516,0.62545,0.24991,90,5.073,0.58114,0.04934,0.12279,2015
Somaliland region,Africa,2.11032,0.18847,0.95152,0.46582,0.50318,91,5.057,0.43873,0.06161,0.39928,2015
Morocco,Africa,2.45373,0.73479,0.64095,0.41691,0.07172,92,5.013,0.60954,0.0342,0.08546,2015
Macedonia,Europe,1.73933,0.91851,1.00232,0.33457,0.22359,93,5.007,0.73545,0.05376,0.05327,2015
Mozambique,Africa,3.05137,0.08308,1.02626,0.34037,0.22269,94,4.971,0.09131,0.07896,0.15603,2015
Albania,Europe,1.89894,0.87867,0.80434,0.35733,0.14272,95,4.959,0.81325,0.05013,0.06413,2015
Bosnia and Herzegovina,Europe,2.06367,0.83223,0.91916,0.09245,0.24808,96,4.949,0.79081,0.06913,0.00227,2015
Lesotho,Africa,2.79832,0.37545,1.04103,0.31767,0.16388,97,4.898,0.07612,0.09438,0.12504,2015
Dominican Republic,North America,1.21305,0.89537,1.17202,0.57672,0.21684,98,4.885,0.66825,0.07446,0.14234,2015
Laos,Asia,1.73799,0.59066,0.73803,0.59591,0.42192,99,4.876,0.54909,0.06698,0.24249,2015
Mongolia,Asia,1.34759,0.82819,1.3006,0.43626,0.3323,100,4.874,0.60268,0.03313,0.02666,2015
Swaziland,Africa,2.48676,0.71206,1.07284,0.30658,0.18259,101,4.867,0.07566,0.08742,0.0306,2015
Greece,Europe,1.80101,1.15406,0.92933,0.07699,0,102,4.857,0.88213,0.05062,0.01397,2015
Lebanon,Asia,1.57059,1.02564,0.80001,0.33916,0.21854,103,4.839,0.83947,0.04337,0.04582,2015
Hungary,Europe,1.24074,1.12094,1.20215,0.32112,0.128,104,4.8,0.75905,0.06107,0.02758,2015
Honduras,North America,1.84408,0.59532,0.95348,0.40148,0.23027,105,4.788,0.6951,0.05648,0.06825,2015
Tajikistan,Asia,2.11399,0.39047,0.85563,0.47216,0.22974,106,4.786,0.57379,0.03198,0.15072,2015
Tunisia,Africa,2.12466,0.88113,0.60429,0.26268,0.06431,107,4.739,0.73793,0.03589,0.06358,2015
Palestinian Territories,Asia,2.04384,0.59867,0.92558,0.24499,0.11251,108,4.715,0.66015,0.04394,0.12905,2015
Bangladesh,Asia,2.51767,0.39753,0.43106,0.4082,0.21222,109,4.694,0.60164,0.03077,0.12569,2015
Iran,Asia,1.6944,1.0088,0.54447,0.30033,0.38086,110,4.686,0.69805,0.04449,0.05863,2015
Ukraine,Europe,1.5714,0.79907,1.20278,0.25123,0.15275,111,4.681,0.6739,0.04412,0.02961,2015
Iraq,Asia,1.95335,0.98549,0.81889,0,0.17922,112,4.677,0.60237,0.05232,0.13788,2015
South Africa,Africa,1.71956,0.92049,1.18468,0.33207,0.11973,113,4.642,0.27688,0.04585,0.08884,2015
Ghana,Africa,2.30919,0.54558,0.67954,0.42342,0.23087,114,4.633,0.40132,0.04742,0.04355,2015
Zimbabwe,Africa,2.44191,0.271,1.03276,0.25861,0.18987,115,4.61,0.33475,0.0429,0.08079,2015
Liberia,Africa,2.77729,0.0712,0.78968,0.28531,0.24362,116,4.571,0.34201,0.11068,0.06232,2015
India,Asia,2.27513,0.64499,0.38174,0.39786,0.26475,117,4.565,0.51529,0.02043,0.08492,2015
Sudan,Africa,2.20857,0.52107,1.01404,0.10081,0.19062,118,4.55,0.36878,0.0674,0.1466,2015
Haiti,North America,2.24173,0.26673,0.74302,0.24425,0.46187,119,4.518,0.38847,0.07331,0.17175,2015
Congo (Kinshasa),Africa,2.86712,0,1.0012,0.22605,0.24834,120,4.517,0.09806,0.0368,0.07625,2015
Nepal,Asia,1.95637,0.35997,0.86449,0.38282,0.32296,121,4.514,0.56874,0.03607,0.05907,2015
Ethiopia,Africa,2.44876,0.19073,0.60406,0.4345,0.24325,122,4.512,0.44055,0.0378,0.15048,2015
Sierra Leone,Africa,2.51009,0.33024,0.95571,0.4084,0.21488,123,4.507,0,0.07068,0.08786,2015
Mauritania,Africa,2.11773,0.45407,0.86908,0.24232,0.219,124,4.436,0.35874,0.03947,0.17461,2015
Kenya,Africa,1.78555,0.36471,0.99876,0.42215,0.37542,125,4.419,0.41435,0.04734,0.05839,2015
Djibouti,Africa,2.05125,0.44025,0.59207,0.46074,0.18093,126,4.369,0.36291,0.08096,0.28105,2015
Armenia,Europe,1.75873,0.76821,0.77711,0.19847,0.07855,127,4.35,0.7299,0.04763,0.039,2015
Armenia,Asia,1.75873,0.76821,0.77711,0.19847,0.07855,127,4.35,0.7299,0.04763,0.039,2015
Botswana,Africa,1.46181,0.99355,1.10464,0.49495,0.10461,128,4.332,0.04776,0.04934,0.12474,2015
Myanmar,Asia,1.41805,0.27108,0.70905,0.44017,0.79588,129,4.307,0.48246,0.04351,0.19034,2015
Georgia,Europe,1.59541,0.7419,0.38562,0.40577,0.05547,130,4.297,0.72926,0.04221,0.38331,2015
Georgia,Asia,1.59541,0.7419,0.38562,0.40577,0.05547,130,4.297,0.72926,0.04221,0.38331,2015
Malawi,Africa,2.80791,0.01604,0.41134,0.43054,0.33128,131,4.292,0.22562,0.0613,0.06977,2015
Sri Lanka,Asia,0.67108,0.83524,1.01905,0.53726,0.40828,132,4.271,0.70806,0.03751,0.09179,2015
Cameroon,Africa,1.95071,0.4225,0.88767,0.49309,0.20618,133,4.252,0.23402,0.04678,0.05786,2015
Bulgaria,Europe,0.89991,1.01216,1.10614,0.30587,0.11921,134,4.218,0.76649,0.04828,0.00872,2015
Egypt,Africa,1.59927,0.8818,0.747,0.17288,0.11291,135,4.194,0.61712,0.0326,0.06324,2015
Yemen,Asia,1.92313,0.54649,0.68093,0.35571,0.09131,136,4.077,0.40064,0.04367,0.07854,2015
Angola,Africa,1.94939,0.75778,0.8604,0.10384,0.12344,137,4.033,0.16683,0.04758,0.07122,2015
Mali,Africa,1.79293,0.26074,1.03526,0.38857,0.18798,138,3.995,0.20583,0.05602,0.12352,2015
Congo (Brazzaville),Africa,1.68135,0.67866,0.6629,0.41466,0.12388,139,3.989,0.31051,0.06682,0.11686,2015
Comoros,Africa,1.95812,0.23906,0.79273,0.22917,0.17441,140,3.956,0.36315,0.04797,0.199,2015
Uganda,Africa,1.42766,0.21102,1.13299,0.45727,0.29066,141,3.931,0.33861,0.04317,0.07267,2015
Senegal,Africa,1.44395,0.36498,0.97619,0.36772,0.20843,142,3.904,0.4354,0.03608,0.10713,2015
Gabon,Africa,0.99895,1.06024,0.90528,0.31914,0.06822,143,3.896,0.43372,0.04547,0.11091,2015
Niger,Africa,1.87877,0.0694,0.77265,0.47692,0.19387,144,3.845,0.29707,0.03602,0.15639,2015
Cambodia,Asia,0.98195,0.46038,0.62736,0.66246,0.40359,145,3.819,0.61114,0.05069,0.07247,2015
Tanzania,Africa,1.38079,0.2852,1.00268,0.32878,0.34377,146,3.781,0.38215,0.05061,0.05747,2015
Madagascar,Africa,1.851,0.20824,0.66801,0.19184,0.21333,147,3.681,0.46721,0.03633,0.08124,2015
Central African Republic,Africa,2.7223,0.0785,0,0.48879,0.23835,148,3.678,0.06699,0.06112,0.08289,2015
Chad,Africa,1.94296,0.34193,0.76062,0.23501,0.18386,149,3.667,0.1501,0.0383,0.05269,2015
Guinea,Africa,1.99172,0.17417,0.46475,0.37725,0.28657,150,3.656,0.24009,0.0359,0.12139,2015
Ivory Coast,Africa,1.41723,0.46534,0.77115,0.46866,0.20165,151,3.655,0.15185,0.05141,0.17922,2015
Burkina Faso,Africa,1.46494,0.25812,0.85188,0.39493,0.21747,152,3.587,0.27125,0.04324,0.12832,2015
Afghanistan,Asia,1.9521,0.31982,0.30285,0.23414,0.3651,153,3.575,0.30335,0.03084,0.09719,2015
Rwanda,Africa,0.67042,0.22208,0.7737,0.59201,0.22628,154,3.465,0.42864,0.03464,0.55191,2015
Benin,Africa,1.63328,0.28665,0.35386,0.4845,0.1826,155,3.34,0.3191,0.03656,0.0801,2015
Syria,Asia,0.32858,0.6632,0.47489,0.15684,0.47179,156,3.006,0.72193,0.05015,0.18906,2015
Burundi,Africa,1.83302,0.0153,0.41587,0.1185,0.19727,157,2.905,0.22396,0.08658,0.10062,2015
Togo,Africa,1.56726,0.20868,0.13995,0.36453,0.16681,158,2.839,0.28443,0.06727,0.10731,2015
Denmark,Europe,2.73939,1.44178,1.16374,0.57941,0.36171,1,7.526,0.79504,,0.44453,2016
Switzerland,Europe,2.69463,1.52733,1.14524,0.58557,0.28083,2,7.509,0.86303,,0.41203,2016
Iceland,Europe,2.83137,1.42666,1.18326,0.56624,0.47678,3,7.501,0.86733,,0.14975,2016
Norway,Europe,2.66465,1.57744,1.1269,0.59609,0.37895,4,7.498,0.79579,,0.35776,2016
Finland,Europe,2.82596,1.40598,1.13464,0.57104,0.25492,5,7.413,0.81091,,0.41004,2016
Canada,North America,2.70485,1.44015,1.0961,0.5737,0.44834,6,7.404,0.8276,,0.31329,2016
Netherlands,Europe,2.70749,1.46468,1.02912,0.55211,0.47416,7,7.339,0.81231,,0.29927,2016
New Zealand,Oceania,2.47553,1.36066,1.17278,0.58147,0.49401,8,7.334,0.83096,,0.41904,2016
Australia,Oceania,2.5465,1.44443,1.10476,0.56837,0.47407,9,7.313,0.8512,,0.32331,2016
Sweden,Europe,2.54734,1.45181,1.08764,0.58218,0.38254,10,7.291,0.83121,,0.40867,2016
Israel,Asia,3.31029,1.33766,0.99537,0.36432,0.32288,11,7.267,0.84917,,0.08728,2016
Austria,Europe,2.69343,1.45038,1.08383,0.54355,0.32865,12,7.119,0.80565,,0.21348,2016
United States,North America,2.72782,1.50796,1.04782,0.48163,0.41077,13,7.104,0.779,,0.14868,2016
Costa Rica,North America,3.35168,1.06879,1.02152,0.55225,0.22553,14,7.087,0.76146,,0.10547,2016
Puerto Rico,North America,3.0076,1.35943,1.08113,0.46823,0.22202,15,7.039,0.77758,,0.12275,2016
Germany,Europe,2.50931,1.44787,1.09774,0.53466,0.30452,16,6.994,0.81487,,0.28551,2016
Brazil,South America,3.50733,1.08754,1.03938,0.40425,0.15776,17,6.952,0.61415,,0.14166,2016
Belgium,Europe,2.61355,1.42539,1.05249,0.51354,0.2424,18,6.929,0.81959,,0.26248,2016
Ireland,Europe,2.15988,1.48341,1.16157,0.54008,0.44963,19,6.907,0.81455,,0.29754,2016
Luxembourg,Europe,2.11055,1.69752,1.03999,0.5487,0.27571,20,6.871,0.84542,,0.35329,2016
Mexico,North America,3.55906,1.11508,0.7146,0.37709,0.11735,21,6.778,0.71143,,0.18355,2016
Singapore,Asia,1.99375,1.64555,0.86758,0.4877,0.32706,22,6.739,0.94719,,0.46987,2016
United Kingdom,Europe,2.14999,1.40283,1.08672,0.50036,0.50156,23,6.725,0.80991,,0.27399,2016
Chile,South America,2.95505,1.2167,0.90587,0.37789,0.31595,24,6.705,0.81883,,0.11451,2016
Panama,North America,3.00559,1.18306,0.98912,0.48927,0.2418,25,6.701,0.70835,,0.08423,2016
Argentina,South America,3.12985,1.15137,1.06612,0.42284,0.10989,26,6.65,0.69711,,0.07296,2016
Czech Republic,Europe,2.96211,1.30915,1.00793,0.41418,0.09929,27,6.596,0.76376,,0.03986,2016
United Arab Emirates,Asia,2.21507,1.57352,0.87114,0.56215,0.26591,28,6.573,0.72993,,0.35561,2016
Uruguay,South America,2.67139,1.18157,1.03143,0.54388,0.18056,29,6.545,0.72183,,0.21394,2016
Malta,Europe,1.99032,1.30782,1.09879,0.54994,0.56237,30,6.488,0.80315,,0.17554,2016
Colombia,South America,3.17471,1.03032,1.02169,0.44735,0.15626,31,6.481,0.59659,,0.05399,2016
France,Europe,2.4744,1.39488,1.00508,0.46562,0.1216,32,6.478,0.83795,,0.17808,2016
Thailand,Asia,2.5796,1.0893,1.04477,0.49553,0.58696,33,6.474,0.64915,,0.02833,2016
Saudi Arabia,Asia,2.61482,1.48953,0.84829,0.37904,0.15457,34,6.379,0.59267,,0.30008,2016
Taiwan,Asia,2.61523,1.39729,0.92624,0.32377,0.25495,34,6.379,0.79565,,0.0663,2016
Qatar,Asia,1.58224,1.82427,0.87964,0.56679,0.32388,36,6.375,0.71723,,0.48049,2016
Spain,Europe,2.39663,1.34253,1.12945,0.37545,0.17665,37,6.361,0.87896,,0.06137,2016
Algeria,Africa,3.40904,1.05266,0.83309,0.21006,0.07044,38,6.355,0.61804,,0.16157,2016
Guatemala,North America,3.19863,0.83454,0.87119,0.50379,0.28808,39,6.324,0.54039,,0.08701,2016
Suriname,South America,3.06852,1.09686,0.77866,0.52234,0.16665,40,6.269,0.50933,,0.12692,2016
Kuwait,Asia,2.28085,1.61714,0.87758,0.43166,0.15965,41,6.239,0.63569,,0.23669,2016
Bahrain,Asia,2.27405,1.44024,0.94397,0.47375,0.17147,42,6.218,0.65696,,0.25772,2016
Trinidad and Tobago,North America,2.51394,1.32572,0.98569,0.48453,0.31935,43,6.168,0.52608,,0.01241,2016
Venezuela,South America,2.97468,1.13367,1.03302,0.19847,0.0425,44,6.084,0.61904,,0.08304,2016
Slovakia,Europe,2.61065,1.27973,1.08268,0.23391,0.13837,45,6.078,0.70367,,0.02947,2016
El Salvador,North America,3.22134,0.8737,0.80975,0.37269,0.08877,46,6.068,0.596,,0.10613,2016
Malaysia,Asia,2.35384,1.25142,0.88025,0.39031,0.41474,47,6.005,0.62366,,0.09081,2016
Nicaragua,North America,2.82428,0.69384,0.89521,0.46582,0.29773,48,5.992,0.65213,,0.16292,2016
Uzbekistan,Asia,2.34638,0.73591,1.1681,0.60848,0.34326,49,5.987,0.50163,,0.28333,2016
Italy,Europe,2.34918,1.35495,1.04167,0.18827,0.16684,50,5.977,0.85102,,0.02556,2016
Ecuador,South America,2.77366,0.97306,0.85974,0.4027,0.10074,51,5.976,0.68613,,0.18037,2016
Belize,North America,3.08039,0.87616,0.68655,0.51231,0.23684,52,5.956,0.45569,,0.10771,2016
Japan,Asia,1.80584,1.38007,1.06054,0.46761,0.10224,53,5.921,0.91491,,0.18985,2016
Kazakhstan,Europe,2.49325,1.22943,0.95544,0.4052,0.15011,54,5.919,0.57386,,0.11132,2016
Kazakhstan,Asia,2.49325,1.22943,0.95544,0.4052,0.15011,54,5.919,0.57386,,0.11132,2016
Moldova,Europe,3.38007,0.69177,0.83132,0.25202,0.19997,55,5.897,0.52309,,0.01903,2016
Russia,Europe,2.59115,1.23228,1.05261,0.32682,0.02736,56,5.856,0.58991,,0.03586,2016
Poland,Europe,2.20035,1.24585,1.04685,0.4519,0.14443,57,5.835,0.69058,,0.055,2016
South Korea,Asia,2.35015,1.35948,0.72194,0.25168,0.18824,57,5.835,0.88645,,0.07716,2016
Bolivia,South America,2.91635,0.79422,0.83779,0.50961,0.21698,59,5.822,0.4697,,0.07746,2016
Lithuania,Europe,2.60525,1.2692,1.06411,0.18929,0.02025,60,5.813,0.64674,,0.0182,2016
Belarus,Europe,2.38582,1.13062,1.04993,0.29091,0.13942,61,5.802,0.63104,,0.17457,2016
North Cyprus,Europe,1.93447,1.31141,0.81826,0.43596,0.26322,62,5.771,0.84142,,0.16578,2016
Slovenia,Europe,1.79522,1.29947,1.05613,0.53164,0.25738,63,5.768,0.79151,,0.03635,2016
Peru,South America,2.73117,0.99602,0.81255,0.37502,0.14527,64,5.743,0.62994,,0.05292,2016
Turkmenistan,Asia,2.21489,1.08017,1.03817,0.37408,0.22567,65,5.658,0.44006,,0.28467,2016
Mauritius,Africa,2.20223,1.14372,0.75695,0.46145,0.36951,66,5.648,0.66189,,0.05203,2016
Libya,Africa,2.39374,1.06688,0.95076,0.40672,0.17087,67,5.615,0.52304,,0.10339,2016
Latvia,Europe,2.20859,1.21788,0.95025,0.27996,0.17445,68,5.56,0.63952,,0.0889,2016
Cyprus,Asia,2.04497,1.31857,0.70697,0.29507,0.27906,69,5.546,0.8488,,0.05228,2016
Paraguay,South America,2.16091,0.89373,1.11111,0.46235,0.25296,70,5.538,0.58295,,0.07396,2016
Romania,Europe,2.45184,1.1697,0.72803,0.36712,0.12889,71,5.528,0.67602,,0.00679,2016
Estonia,Europe,1.81985,1.27964,1.05163,0.41511,0.08423,72,5.517,0.68098,,0.18519,2016
Jamaica,North America,2.35682,0.89333,0.96372,0.43597,0.22245,73,5.51,0.59469,,0.04294,2016
Croatia,Europe,2.52462,1.18649,0.60809,0.23907,0.18434,74,5.488,0.70524,,0.04002,2016
Hong Kong,Asia,0.92614,1.5107,0.87021,0.48079,0.40097,75,5.458,0.95277,,0.31647,2016
Somalia,Africa,3.83772,0,0.33613,0.56778,0.27225,76,5.44,0.11466,,0.3118,2016
Kosovo,Europe,2.80998,0.90145,0.66062,0.14396,0.27992,77,5.401,0.54,,0.06547,2016
Turkey,Europe,2.29074,1.16492,0.87717,0.23889,0.04707,78,5.389,0.64718,,0.12348,2016
Turkey,Asia,2.29074,1.16492,0.87717,0.23889,0.04707,78,5.389,0.64718,,0.12348,2016
Indonesia,Asia,2.03171,0.95104,0.87625,0.39237,0.56521,79,5.314,0.49374,,0.00322,2016
